link,current_slice_id,future_slice_id,label
423051,698,716,0
29916,686,699,0
157521,9,35,0
177229,3,26,0
267221,0,16,0
236371,201,216,0
68171,673,686,1
214384,186,200,0
269037,6,23,0
240949,6,24,0
279614,8,23,0
321542,216,237,0
514848,5,34,0
176354,5,28,0
619861,142,158,0
153900,7,11,0
270827,7,21,0
109357,166,185,0
143110,7,24,0
263973,9,11,0
214809,6,18,0
575888,5,24,0
376070,3,30,0
383051,6,24,0
263674,2,30,0
172362,7,14,0
544337,1,26,0
412498,9,12,0
280055,7,27,0
277455,9,31,0
41471,7,19,0
653724,15,33,0
622765,171,196,0
336520,2,16,0
12792,8,13,0
73091,8,14,0
338496,7,11,0
614858,6,24,0
181912,10,35,0
311303,9,16,0
58249,1,13,0
111910,8,14,0
569366,7,31,0
214614,0,27,0
316883,9,36,0
622673,219,235,0
138953,3,22,0
270845,1,15,0
623390,167,194,0
185009,5,22,0
136503,6,17,0
199491,5,16,0
634566,8,32,0
225158,9,23,0
609891,8,14,0
492667,1,13,0
63098,389,402,0
504525,7,21,0
550265,197,225,0
450508,5,11,0
209126,5,12,0
515413,0,26,0
72391,6,16,0
544849,9,26,0
110485,4,18,0
516334,10,16,0
382229,85,99,0
357714,0,27,0
619867,9,17,0
238940,6,32,0
269011,4,24,0
164941,3,23,0
566948,6,16,0
38534,7,24,0
263825,2,28,0
662486,6,33,0
152814,7,27,0
38598,127,143,1
371089,696,717,0
278927,125,138,0
181979,4,31,0
32103,192,213,0
250008,7,32,0
374693,2,27,0
515263,5,19,0
182302,2,19,0
224987,10,22,0
199768,9,30,0
360454,193,213,0
674648,8,12,0
273602,12,35,0
343673,2,27,0
70581,1,16,0
504218,152,166,0
314817,2,25,0
277949,9,29,0
440141,10,33,0
615310,4,17,0
509443,7,35,0
338605,6,27,0
335591,2,26,0
610288,1,28,0
113373,185,197,0
589225,391,410,0
179788,5,11,0
316083,4,23,0
33863,4,21,0
57116,7,11,0
33391,10,13,0
323208,6,33,0
378770,3,31,0
33312,6,18,0
39758,8,14,0
182587,8,27,0
653616,6,31,0
173689,3,21,0
335693,8,19,0
339436,5,28,0
354721,9,30,0
279136,5,14,0
254114,4,31,0
593994,0,18,0
268478,0,26,0
141319,10,33,0
183559,1,23,0
232762,9,11,0
309017,4,28,0
343386,2,17,0
595447,7,22,0
338345,3,19,0
171309,3,18,0
467748,6,14,0
659007,167,180,0
578194,1,15,0
271054,7,24,0
39404,6,27,0
620007,6,27,0
277350,8,32,0
273507,7,16,0
166230,217,231,0
9784,9,19,0
629629,239,242,1
544186,8,19,0
619735,10,22,0
503266,4,13,0
332981,3,13,0
58878,2,15,0
175398,4,17,0
506593,10,33,0
279614,8,35,0
267221,0,28,0
504440,7,14,0
238855,9,28,0
503607,213,228,0
243888,7,25,0
354721,9,38,0
515266,6,30,0
662351,9,22,0
214386,186,197,0
358674,9,31,0
336634,7,21,0
264317,7,19,0
476158,3,17,0
215349,4,21,0
173689,3,29,0
336532,7,22,0
9778,629,655,0
315980,0,24,0
