link,label,current_slice_id,future_slice_id,time_diff,current_speed_min,current_speed_max,current_speed_mean,current_speed_std,current_eta_min,current_eta_max,current_eta_mean,current_eta_std,current_cnt_min,current_cnt_max,current_cnt_mean,current_cnt_std,current__state_min,current__state_max,current_comstate,his_28_speed_min,his_28_speed_max,his_28_speed_mean,his_28_speed_std,his_28_eta_min,his_28_eta_max,his_28_eta_mean,his_28_eta_std,his_28_cnt_min,his_28_cnt_max,his_28_cnt_mean,his_28_cnt_std,his_28__state_min,his_28__state_max,his_28_comstate,his_21_speed_min,his_21_speed_max,his_21_speed_mean,his_21_speed_std,his_21_eta_min,his_21_eta_max,his_21_eta_mean,his_21_eta_std,his_21_cnt_min,his_21_cnt_max,his_21_cnt_mean,his_21_cnt_std,his_21__state_min,his_21__state_max,his_21_comstate,his_14_speed_min,his_14_speed_max,his_14_speed_mean,his_14_speed_std,his_14_eta_min,his_14_eta_max,his_14_eta_mean,his_14_eta_std,his_14_cnt_min,his_14_cnt_max,his_14_cnt_mean,his_14_cnt_std,his_14__state_min,his_14__state_max,his_14_comstate,his_7_speed_min,his_7_speed_max,his_7_speed_mean,his_7_speed_std,his_7_eta_min,his_7_eta_max,his_7_eta_mean,his_7_eta_std,his_7_cnt_min,his_7_cnt_max,his_7_cnt_mean,his_7_cnt_std,his_7__state_min,his_7__state_max,his_7_comstate,length,direction,path_class,speed_class,LaneNum,speed_limit,level,width
348288,1,7,7,21,19.296875,28.796875,22.84375,3.763671875,14.8984375,28.09375,24.09375,4.875,1,4,1.8,1.1661903789690602,1,2,2,20.0,33.09375,27.5,4.64453125,17.296875,23.796875,20.734375,2.19140625,4,5,4.6,0.4898979485566356,1,2,1,30.296875,34.6875,32.5625,1.4140625,9.796875,30.40625,22.21875,10.0234375,1,2,1.6,0.4898979485566356,1,1,1,19.59375,28.40625,25.84375,3.361328125,23.703125,27.296875,25.234375,1.6181640625,1,5,3.0,1.4142135623730951,1,2,1,21.90625,31.296875,27.59375,3.111328125,21.5,27.796875,25.140625,2.798828125,3,7,5.2,1.4696938456699071,1,2,1,74,3,5,6,2,11.111111,5,55
348288,1,3,3,25,20.296875,28.5,24.875,3.0390625,23.0,29.203125,25.796875,2.716796875,3,5,4.4,0.8,1,2,2,21.796875,25.0,22.703125,1.197265625,21.90625,25.40625,23.765625,1.416015625,5,7,5.4,0.7999999999999999,1,2,2,18.40625,23.40625,21.203125,1.7509765625,18.5,25.0,22.015625,2.744140625,3,6,4.4,1.0198039027185568,2,2,2,18.09375,26.203125,21.546875,3.306640625,22.0,26.296875,25.0,1.619140625,4,7,5.2,1.16619037896906,1,2,2,16.40625,20.703125,18.515625,1.63671875,19.296875,25.5,21.71875,2.736328125,2,4,3.2,0.7483314773547882,2,2,2,74,3,5,6,2,11.111111,5,55
348288,1,3,3,4,19.09375,19.796875,19.4375,0.30029296875,14.203125,19.90625,16.125,2.078125,5,7,5.4,0.7999999999999999,2,2,2,17.90625,20.203125,19.1875,0.9755859375,23.0,25.59375,23.921875,0.9833984375,6,9,7.4,1.0198039027185568,2,2,2,17.0,27.5,19.828125,3.89453125,16.40625,25.09375,19.28125,3.275390625,4,7,5.4,1.0198039027185568,1,2,2,15.203125,25.90625,19.859375,3.67578125,16.90625,25.796875,20.703125,3.181640625,3,6,4.2,1.16619037896906,1,2,2,17.203125,20.40625,18.5,1.1123046875,17.203125,19.203125,18.203125,0.80078125,6,8,7.0,0.8944271909999159,2,2,2,74,3,5,6,2,11.111111,5,55
348288,1,3,3,11,26.5,29.90625,28.328125,1.2998046875,25.0,28.40625,26.953125,1.6025390625,4,8,6.6,1.4966629547095764,1,1,1,23.5,31.203125,28.0,2.52734375,23.796875,27.296875,25.09375,1.2001953125,3,5,4.0,0.6324555320336759,1,2,1,21.09375,26.40625,23.640625,2.234375,26.0,28.09375,27.203125,0.9814453125,3,5,4.2,0.7483314773547882,1,2,2,17.296875,19.703125,18.5,0.8310546875,20.296875,25.09375,22.5,1.6923828125,4,6,5.0,0.6324555320336759,2,2,2,17.796875,25.796875,20.359375,2.916015625,17.796875,20.296875,19.21875,0.806640625,3,6,4.0,1.095445115010332,1,2,2,74,3,5,6,2,11.111111,5,55
348288,0,4,4,4,10.0,31.296875,24.984375,7.66015625,11.703125,29.40625,22.71875,6.77734375,2,5,3.8,1.16619037896906,1,3,1,27.203125,29.09375,28.3125,0.732421875,25.203125,30.59375,28.078125,1.98828125,2,4,3.0,0.8944271909999159,1,1,1,27.5,31.09375,29.421875,1.4599609375,21.59375,30.09375,26.515625,3.689453125,1,5,2.8,1.6,1,1,1,29.296875,30.796875,30.09375,0.60009765625,26.5,28.703125,27.453125,0.8505859375,1,4,2.0,1.095445115010332,1,1,1,19.796875,33.3125,27.96875,4.453125,29.296875,34.5,31.296875,1.8642578125,2,6,4.4,1.3564659966250536,1,2,1,74,3,5,6,2,11.111111,5,55
348288,1,5,5,13,19.09375,25.59375,22.15625,2.078125,20.09375,24.90625,22.125,1.6337890625,4,9,6.8,1.7204650534085253,1,2,2,17.59375,25.796875,21.984375,3.05859375,18.0,26.203125,21.703125,2.62109375,3,6,3.8,1.16619037896906,1,2,2,20.296875,22.09375,20.78125,0.66552734375,20.203125,25.40625,22.46875,1.78515625,3,6,4.6,1.019803902718557,2,2,2,14.8984375,20.90625,18.578125,2.150390625,19.796875,23.796875,21.0,1.4306640625,4,7,5.8,1.16619037896906,2,2,2,17.296875,19.40625,18.46875,0.80712890625,17.296875,27.703125,19.78125,3.970703125,2,4,3.4,0.8,2,2,2,74,3,5,6,2,11.111111,5,55
348288,1,7,7,9,18.40625,32.0,21.640625,5.22265625,20.5,24.5,22.09375,1.546875,5,7,5.6,0.7999999999999999,1,2,2,20.0,33.09375,27.5,4.64453125,17.296875,23.796875,20.734375,2.19140625,4,5,4.6,0.4898979485566356,1,2,1,30.296875,34.6875,32.5625,1.4140625,9.796875,30.40625,22.21875,10.0234375,1,2,1.6,0.4898979485566356,1,1,1,19.59375,28.40625,25.84375,3.361328125,23.703125,27.296875,25.234375,1.6181640625,1,5,3.0,1.4142135623730951,1,2,1,21.90625,31.296875,27.59375,3.111328125,21.5,27.796875,25.140625,2.798828125,3,7,5.2,1.4696938456699071,1,2,1,74,3,5,6,2,11.111111,5,55
348288,0,1,1,25,19.40625,30.203125,25.0,4.5859375,16.0,27.90625,22.78125,4.00390625,5,6,5.6,0.4898979485566357,1,2,1,15.296875,34.8125,27.84375,7.12109375,11.796875,26.09375,19.078125,6.26171875,1,2,1.2,0.4,1,2,1,13.6015625,33.1875,23.671875,8.2265625,1.2001953125,27.5,13.984375,9.1484375,1,3,2.0,0.8944271909999159,1,2,1,18.0,30.0,25.875,4.3828125,19.203125,22.40625,20.96875,1.4443359375,1,2,1.2,0.4000000000000001,1,2,1,29.0,32.90625,30.140625,1.5478515625,21.5,28.296875,24.796875,2.966796875,1,6,3.0,1.7888543819998317,1,1,1,74,3,5,6,2,11.111111,5,55
348288,1,5,6,19,21.703125,31.09375,26.359375,3.8671875,19.5,31.5,26.453125,4.77734375,2,4,3.2,0.7483314773547882,1,2,1,18.40625,21.40625,20.15625,1.0576171875,15.3984375,17.203125,16.0,0.70361328125,3,5,4.0,0.6324555320336759,2,2,2,19.0,27.296875,23.421875,3.251953125,23.296875,27.203125,26.046875,1.4248046875,4,6,5.2,0.7483314773547882,1,2,2,20.0,23.203125,21.265625,1.099609375,19.796875,25.703125,22.796875,2.447265625,5,7,6.0,0.6324555320336759,2,2,2,23.40625,27.0,25.734375,1.2177734375,21.296875,22.203125,22.0,0.35400390625,5,6,5.2,0.4,1,2,1,74,3,5,6,2,11.111111,5,55
348288,0,2,3,18,26.203125,31.40625,29.046875,1.7734375,26.796875,29.59375,28.25,0.9404296875,3,5,4.0,0.8944271909999159,1,1,1,20.0,28.796875,24.1875,3.419921875,14.703125,26.296875,21.9375,4.53515625,3,5,3.8,0.7483314773547882,1,2,2,14.5,20.296875,18.953125,2.2421875,18.703125,24.703125,21.296875,1.9267578125,2,4,3.0,0.6324555320336759,2,2,2,18.296875,20.0,19.515625,0.63623046875,19.0,22.5,21.046875,1.5625,2,6,3.6,1.3564659966250536,2,2,2,19.90625,28.09375,25.65625,3.005859375,26.5,31.5,27.953125,1.8330078125,2,4,3.2,0.7483314773547882,1,2,1,74,3,5,6,2,11.111111,5,55
