iter	Passed	Remaining
0	125	24946
1	246	24369
2	367	24125
3	486	23848
4	630	24582
5	747	24168
6	867	23907
7	1020	24497
8	1161	24644
9	1280	24331
10	1405	24150
11	1531	23987
12	1654	23799
13	1787	23751
14	1924	23740
15	2071	23825
16	2227	23981
17	2395	24225
18	2549	24288
19	2699	24296
20	2844	24249
21	2977	24087
22	3132	24108
23	3275	24023
24	3419	23935
25	3565	23864
26	3693	23668
27	3839	23585
28	3982	23484
29	4125	23375
30	4281	23342
31	4412	23167
32	4555	23052
33	4688	22890
34	4816	22706
35	4974	22663
36	5123	22572
37	5275	22488
38	5410	22335
39	5567	22269
40	5697	22094
41	5840	21972
42	5969	21793
43	6119	21696
44	6277	21621
45	6411	21462
46	6555	21340
47	6728	21306
48	6862	21146
49	7002	21006
50	7131	20834
51	7271	20695
52	7411	20555
53	7568	20461
54	7693	20282
55	7841	20163
56	7991	20049
57	8128	19900
58	8259	19738
59	8401	19603
60	8544	19469
61	8688	19337
62	8844	19232
63	8974	19071
64	9112	18925
65	9246	18774
66	9390	18641
67	9521	18482
68	9658	18337
69	9803	18206
70	9961	18099
71	10117	17987
72	10277	17880
73	10458	17807
74	10610	17683
75	10763	17560
76	10894	17402
77	11048	17280
78	11181	17126
79	11318	16977
80	11476	16860
81	11624	16727
